apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2009	11	3	14	5.1	iran	iran:  bandar abbas	27.334	56.202			269				1									269	3		Less than $1 Million	1		
	2009	11	8	18	6.6	indonesia	indonesia:  sumabawa:  bima	-8.207	118.631	2		200	2.43			2					2	1			200	3	2.43	~$1 to $5 Million	2		
	2009	11	27	7	5.4	venezuela	venezuela:  siquisique	10.434	-69.715							1												Less than $1 Million	1		
	2009	12	6	2	3.5	south africa	south africa:  carletonville	-26.414	27.494	2		3									2	1			3	1		#N/A			
	2009	12	8	8	5.9	malawi	malawi:  karonga	-9.948	33.878	1		15				3					1	1			15	1		~$5 to $24 Million	3		3000
	2009	12	12	10	5.1	india	india:  maharashtra:  satara	17.109	73.767							1												Less than $1 Million	1		
	2009	12	17	7	4.9	japan	japan:  honshu:  ito	34.921	139.261			7				1									7	1		Less than $1 Million	1		20
	2009	12	19	57	6.4	taiwan	taiwan:  hualien	23.796	121.605			14				1				1					14	1		Less than $1 Million	1		
	2009	12	19	6	6	malawi	malawi:  karonga	-10.108	33.818	3		250				3	1111	4	1111	4	3	1			250	3		~$5 to $24 Million	3	1111	3565
	2009	12	30	9	5.9	mexico	mexico:  mexicali	32.437	-115.165							1												Less than $1 Million	1		
	2009	12	31	10	5.2	bhutan	bhutan:  dametsi	27.319	91.51			2				2									2	1		~$1 to $5 Million	2		700
	2010	1	2	47	5.1	tajikistan	tajikistan	38.245	71.467				1.5			2	98	2	1000	3							1.5	~$1 to $5 Million	2	98	1000
Tsu	2010	1	3	26	6.6	solomon islands	solomon islands	-8.743	157.477																			#N/A			
Tsu	2010	1	3	25	7.1	solomon islands	solomon islands	-8.799	157.346							1	16	1	60	2								Less than $1 Million	1	16	60
